s,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
101,1.069342574,1.336678218,1.158454455,1.51490198,2.406020792,1.336678218,1.247566337,1.960461386,1.960461386,1.693125743,1.693125743,1.425790099,1.960461386,1.425790099,1.158454455,1.782237624,1.871349505,1.693125743,1.960461386,2.22779703,1.782237624,1.425790099,2.316908911,1.158454455,1.069342574,1.336678218,1.782237624,0.980230693,1.336678218,1.693125743
201,1.477661194,1.343328358,2.194102985,1.83588209,1.253773134,1.83588209,1.522438806,1.477661194,0.895552239,1.656771642,1.477661194,1.61199403,1.343328358,1.074662687,1.16421791,1.522438806,1.298550746,1.567216418,1.701549254,1.343328358,1.567216418,1.119440299,1.343328358,1.746326866,1.298550746,1.432883582,1.746326866,1.432883582,1.567216418,1.61199403
301,1.614671761,1.405362458,1.584770432,1.495066445,1.345559801,1.584770432,1.764178405,1.435263787,1.554869103,2.003389037,2.003389037,1.674474419,1.674474419,1.465165116,1.614671761,1.674474419,1.734277076,1.405362458,1.465165116,1.37546113,1.614671761,1.91368505,1.405362458,1.764178405,1.37546113,1.64457309,1.285757143,1.614671761,1.37546113,1.495066445
401,1.346678304,1.324233666,2.132240648,1.571124688,1.346678304,1.97512818,1.593569327,1.458901496,1.503790773,1.571124688,1.503790773,1.750681796,1.391567581,1.526235411,1.503790773,1.593569327,1.593569327,1.705792519,1.503790773,1.840460349,1.705792519,1.593569327,1.346678304,1.369122943,1.862904988,1.750681796,1.660903242,1.862904988,1.818015711,1.503790773
501,1.670714371,1.652749701,1.616820359,1.886290419,1.401244311,1.688679042,1.760537725,1.688679042,1.63478503,1.724608383,1.724608383,1.760537725,1.778502395,1.832396407,1.724608383,1.419208982,1.832396407,1.526997006,1.544961677,1.437173653,1.580891018,1.688679042,1.598855689,1.544961677,1.706643713,1.670714371,1.544961677,1.724608383,1.509032335,1.652749701
601,1.692236106,1.497554077,1.931844759,1.662285025,1.37774975,2.021698003,1.602382862,1.55745624,1.797064892,1.587407321,1.797064892,1.452627454,1.677260566,1.587407321,1.347798669,1.662285025,1.677260566,1.452627454,1.57243178,1.812040433,1.886918136,1.36277421,1.692236106,1.57243178,1.482578536,1.542480699,1.587407321,1.707211647,1.707211647,1.347798669
701,1.540707561,1.758974465,1.540707561,1.592064479,1.463672183,1.57922525,1.733296006,1.694778317,1.57922525,1.694778317,1.630582168,1.502189872,1.694778317,1.771813695,1.425154494,1.425154494,1.463672183,1.57922525,1.604903709,1.55354679,1.309601427,1.56638602,1.463672183,1.399476034,1.540707561,1.630582168,1.463672183,1.373797575,1.271083738,1.681939087
801,1.685449438,1.707922097,1.584322472,1.37083221,1.696685768,1.64050412,1.438250187,1.685449438,1.550613483,1.516904494,1.618031461,1.471959176,1.573086142,1.595558801,1.595558801,1.483195506,1.494431835,1.606795131,1.483195506,1.483195506,1.516904494,1.573086142,1.595558801,1.719158427,1.606795131,1.685449438,1.685449438,1.685449438,1.460722846,1.460722846
901,1.678191343,1.668202109,1.758105216,1.568309767,1.548331299,1.598277469,1.518363596,1.508374362,1.628245172,1.478406659,1.428460488,1.618255938,1.658212875,1.538342064,1.808051387,1.488395893,1.578299001,1.568309767,1.64822364,1.658212875,1.598277469,1.488395893,1.518363596,1.388503552,1.398492786,1.548331299,1.538342064,1.618255938,1.52835283,1.368525083
1001,1.762296503,1.492557243,1.85220959,1.555496404,1.591461638,1.681374725,1.393652847,1.627426873,1.663392108,1.699357343,1.762296503,1.636418182,1.465583317,1.51053986,1.672383417,1.681374725,1.636418182,1.645409491,1.537513786,1.654400799,1.555496404,1.447600699,1.58247033,1.564487712,1.627426873,1.618435564,1.645409491,1.798261738,1.492557243,1.762296503
