s,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
100,2.070069,1.620054,1.530051,1.710057,1.170039,1.710057,1.710057,1.620054,1.980066,1.350045,1.710057,1.350045,1.620054,1.620054,1.710057,1.890063,1.350045,1.620054,1.980066,1.530051,1.530051,1.890063,1.440048,1.620054,1.260042,1.620054,1.440048,1.80006,1.440048,1.80006,1.620054,1.530051,1.440048,1.440048,1.620054,1.440048,1.710057,1.440048,1.710057,1.530051,1.530051,1.980066,1.80006,1.530051,1.710057,1.170039,1.80006,2.160072,1.530051,1.530051
200,1.620054,1.80006,1.440048,1.6650555,1.5750525,1.620054,1.5750525,1.80006,1.6650555,1.440048,1.80006,1.620054,1.620054,1.3950465,1.80006,1.8450615,1.5750525,1.530051,1.3050435,1.8450615,1.620054,1.440048,1.440048,1.3050435,1.3950465,1.620054,1.5750525,1.6650555,1.6650555,1.350045,1.350045,1.530051,1.5750525,1.7550585,1.710057,1.9350645,1.440048,1.3950465,1.620054,1.530051,1.3050435,1.440048,1.7550585,1.4850495,1.4850495,1.440048,1.440048,1.710057,1.8450615,1.6650555
300,1.560052,1.710057,1.620054,1.620054,1.560052,1.650055,1.470049,1.410047,1.410047,1.650055,1.560052,1.710057,1.50005,1.80006,1.620054,1.470049,1.80006,1.710057,1.440048,1.470049,1.350045,1.950065,1.680056,1.650055,1.530051,1.80006,1.470049,1.650055,1.590053,1.590053,1.50005,1.560052,1.680056,1.680056,1.380046,1.680056,1.50005,1.620054,1.470049,1.470049,1.620054,1.620054,1.680056,1.50005,1.350045,1.590053,1.770059,1.650055,1.470049,1.860062
400,1.5750525,1.41754725,1.440048,1.6650555,1.55255175,1.77755925,1.46254875,1.68755625,1.55255175,1.55255175,1.530051,1.3950465,1.55255175,1.710057,1.530051,1.59755325,1.64255475,1.6650555,1.55255175,1.710057,1.50755025,1.350045,1.50755025,1.5750525,1.77755925,1.5750525,1.710057,1.4850495,1.5750525,1.64255475,1.5750525,1.59755325,1.3950465,1.50755025,1.59755325,1.59755325,1.64255475,1.440048,1.55255175,1.7550585,1.4850495,1.55255175,1.6650555,1.46254875,1.37254575,1.440048,1.86756225,1.7550585,1.73255775,1.7550585
500,1.6740558,1.6920564,1.7460582,1.710057,1.7460582,1.530051,1.6020534,1.710057,1.6380546,1.5660522,1.7820594,1.6020534,1.7280576,1.8180606,1.6560552,1.6740558,1.4580486,1.530051,1.4580486,1.4580486,1.6560552,1.3320444,1.5660522,1.6920564,1.6380546,1.5660522,1.80006,1.6560552,1.5660522,1.6380546,1.5840528,1.530051,1.6020534,1.5660522,1.6020534,1.4220474,1.5480516,1.4040468,1.620054,1.5660522,1.3680456,1.5840528,1.4940498,1.620054,1.710057,1.5840528,1.6740558,1.5840528,1.80006,1.4220474
600,1.20004,1.6650555,1.6950565,1.620054,1.4850495,1.6650555,1.620054,1.5450515,1.5450515,1.470049,1.650055,1.740058,1.560052,1.530051,1.6050535,1.6950565,1.50005,1.6950565,1.7550585,1.6650555,1.620054,1.560052,1.6050535,1.4850495,1.50005,1.620054,1.650055,1.5450515,1.440048,1.6350545,1.710057,1.7250575,1.620054,1.4550485,1.6350545,1.860062,1.6350545,1.6650555,1.4850495,1.5450515,1.5150505,1.6050535,1.50005,1.650055,1.5750525,1.6650555,1.5450515,1.560052,1.5150505,1.590053
700,1.530051,1.671484286,1.581481286,1.491478286,1.671484286,1.607196429,1.581481286,1.517193429,1.594338857,1.517193429,1.465763143,1.517193429,1.517193429,1.542908571,1.620054,1.542908571,1.568623714,1.542908571,1.658626714,1.517193429,1.607196429,1.594338857,1.465763143,1.401475286,1.414332857,1.581481286,1.581481286,1.504335857,1.491478286,1.581481286,1.684341857,1.594338857,1.350045,1.787202429,1.504335857,1.671484286,1.427190429,1.581481286,1.722914571,1.761487286,1.581481286,1.478620714,1.581481286,1.658626714,1.761487286,1.568623714,1.658626714,1.568623714,1.607196429,1.697199429
800,1.4850495,1.451298375,1.620054,1.541301375,1.541301375,1.46254875,1.6650555,1.473799125,1.440048,1.743808125,1.55255175,1.68755625,1.5750525,1.608803625,1.631304375,1.59755325,1.451298375,1.608803625,1.586302875,1.473799125,1.338794625,1.64255475,1.428797625,1.55255175,1.541301375,1.608803625,1.68755625,1.530051,1.59755325,1.440048,1.41754725,1.530051,1.620054,1.59755325,1.7550585,1.6650555,1.68755625,1.530051,1.563802125,1.541301375,1.653805125,1.428797625,1.631304375,1.608803625,1.59755325,1.608803625,1.653805125,1.631304375,1.541301375,1.4850495
900,1.510050333,1.670055667,1.470049,1.630054333,1.650055,1.640054667,1.710057,1.750058333,1.690056333,1.510050333,1.490049667,1.520050667,1.670055667,1.670055667,1.650055,1.510050333,1.520050667,1.570052333,1.540051333,1.670055667,1.620054,1.610053667,1.600053333,1.50005,1.660055333,1.610053667,1.580052667,1.610053667,1.660055333,1.510050333,1.560052,1.580052667,1.690056333,1.650055,1.580052667,1.530051,1.630054333,1.470049,1.650055,1.50005,1.530051,1.590053,1.600053333,1.700056667,1.530051,1.530051,1.650055,1.530051,1.590053,1.50005
1000,1.6560552,1.4580486,1.6470549,1.6560552,1.6020534,1.5390513,1.5570519,1.5840528,1.6920564,1.6740558,1.5930531,1.5840528,1.6470549,1.5750525,1.5660522,1.6740558,1.5570519,1.5120504,1.6830561,1.6920564,1.5480516,1.6020534,1.6920564,1.6020534,1.6290543,1.5840528,1.5570519,1.7550585,1.5840528,1.6380546,1.6110537,1.6380546,1.5750525,1.6470549,1.6290543,1.5660522,1.6380546,1.5660522,1.4490483,1.7010567,1.5210507,1.5390513,1.5390513,1.6560552,1.5840528,1.6380546,1.6740558,1.6020534,1.5930531,1.5930531
1100,1.628236091,1.562779364,1.587325636,1.644600273,1.579143545,1.620054,1.759149545,1.644600273,1.521868909,1.587325636,1.693692818,1.620054,1.603689818,1.530051,1.464594273,1.530051,1.644600273,1.538233091,1.685510727,1.489140545,1.660964455,1.538233091,1.562779364,1.628236091,1.562779364,1.587325636,1.669146545,1.726421182,1.636418182,1.440048,1.579143545,1.652782364,1.669146545,1.562779364,1.611871909,1.620054,1.636418182,1.603689818,1.513686818,1.579143545,1.570961455,1.742785364,1.480958455,1.521868909,1.677328636,1.620054,1.685510727,1.554597273,1.489140545,1.546415182
1200,1.44754825,1.38754625,1.6350545,1.5750525,1.560052,1.5450515,1.620054,1.4850495,1.6050535,1.590053,1.56755225,1.67255575,1.5750525,1.68755625,1.68755625,1.56755225,1.5750525,1.410047,1.5450515,1.530051,1.680056,1.58255275,1.70255675,1.5450515,1.6050535,1.65755525,1.65755525,1.6050535,1.590053,1.5450515,1.67255575,1.410047,1.620054,1.560052,1.5750525,1.5450515,1.65755525,1.650055,1.620054,1.64255475,1.52255075,1.5450515,1.6950565,1.62755425,1.56755225,1.50755025,1.6050535,1.55255175,1.560052,1.50005
