s,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
100,1.710057,1.6200539999999999,1.440048,0.9000299999999999,1.8000599999999998,1.6200539999999999,1.3500449999999997,1.710057,1.080036,1.1700389999999998,1.530051,1.8000599999999998,1.6200539999999999,1.6200539999999999,1.9800659999999999,1.530051,1.6200539999999999,1.530051,1.6200539999999999,1.6200539999999999,1.710057,1.8900629999999998,1.710057,1.6200539999999999,1.6200539999999999,1.6200539999999999,1.440048,1.710057,1.3500449999999997,1.8000599999999998,1.710057,1.3500449999999997,1.530051,1.530051,1.530051,1.9800659999999999,2.0700689999999997,1.440048,1.440048,1.440048,1.1700389999999998,1.530051,2.0700689999999997,1.6200539999999999,1.6200539999999999,0.9900329999999999,1.6200539999999999,1.710057,1.440048,1.3500449999999997
200,1.5750525,1.2600419999999999,1.5750525,1.7550584999999999,1.530051,1.6200539999999999,1.4850494999999997,1.5750525,1.6650555,1.9350644999999997,1.440048,1.440048,1.6200539999999999,1.2600419999999999,1.6200539999999999,1.5750525,1.3050434999999998,1.6200539999999999,1.3500449999999997,1.8000599999999998,1.6650555,1.440048,1.5750525,1.2600419999999999,1.5750525,1.5750525,1.6200539999999999,1.530051,1.530051,1.4850494999999997,1.440048,1.8000599999999998,1.2600419999999999,1.6650555,1.3950465,1.4850494999999997,1.710057,1.6650555,1.3050434999999998,1.4850494999999997,1.3950465,1.3050434999999998,1.6650555,1.6200539999999999,1.4850494999999997,1.7550584999999999,1.530051,1.5750525,1.440048,1.530051
300,1.590053,1.590053,1.6500549999999998,1.5300509999999998,1.6200539999999999,1.5300509999999998,1.2900429999999998,1.6500549999999998,1.350045,1.4700489999999997,1.6200539999999999,1.410047,1.5300509999999998,1.5600519999999998,1.5600519999999998,1.410047,1.5000499999999999,1.3800459999999999,1.6200539999999999,1.5000499999999999,1.6200539999999999,1.6200539999999999,1.440048,1.590053,1.440048,1.5300509999999998,1.7100569999999997,1.6500549999999998,1.6200539999999999,1.5000499999999999,1.230041,1.410047,1.6200539999999999,1.770059,1.3800459999999999,1.5000499999999999,1.7100569999999997,1.410047,1.6200539999999999,1.590053,1.5300509999999998,1.590053,1.5300509999999998,1.4700489999999997,1.590053,1.410047,1.7400579999999999,1.5600519999999998,1.5000499999999999,1.5300509999999998
400,1.64255475,1.50755025,1.6875562499999999,1.530051,1.46254875,1.7550584999999999,1.530051,1.3950465,1.530051,1.50755025,1.4850494999999997,1.55255175,1.4850494999999997,1.3725457499999998,1.1250375,1.6650555,1.50755025,1.4850494999999997,1.440048,1.50755025,1.6200539999999999,1.50755025,1.3500449999999997,1.4850494999999997,1.530051,1.530051,1.50755025,1.6200539999999999,1.3725457499999998,1.64255475,1.5750525,1.710057,1.5750525,1.59755325,1.7550584999999999,1.5750525,1.59755325,1.46254875,1.4175472499999997,1.5750525,1.6200539999999999,1.46254875,1.710057,1.440048,1.4850494999999997,1.50755025,1.2150405,1.4850494999999997,1.6875562499999999,1.50755025
500,1.5840528,1.4400479999999998,1.6200539999999999,1.5660522,1.5120504,1.6560551999999997,1.5300509999999998,1.6380546,1.4220473999999999,1.4940497999999998,1.3320444,1.6020533999999997,1.3680455999999999,1.8540618,1.3680455999999999,1.3860462,1.6200539999999999,1.4400479999999998,1.5480515999999998,1.80006,1.4940497999999998,1.4940497999999998,1.6380546,1.6020533999999997,1.4940497999999998,1.5840528,1.4400479999999998,1.5480515999999998,1.5840528,1.5840528,1.5480515999999998,1.5480515999999998,1.6200539999999999,1.4580486,1.5480515999999998,1.7100569999999997,1.6920564,1.8540618,1.5480515999999998,1.350045,1.5660522,1.4760491999999998,1.6200539999999999,1.7280575999999999,1.7100569999999997,1.4400479999999998,1.5660522,1.5480515999999998,1.5480515999999998,1.6020533999999997
600,1.590053,1.5150504999999999,1.5600519999999998,1.5150504999999999,1.5150504999999999,1.5750525,1.5450515,1.6950564999999997,1.5000499999999999,1.6350544999999999,1.6200539999999999,1.410047,1.4850495,1.3800459999999999,1.6650554999999998,1.590053,1.3950464999999999,1.4700489999999997,1.5150504999999999,1.3950464999999999,1.4700489999999997,1.5750525,1.4700489999999997,1.4700489999999997,1.5750525,1.6200539999999999,1.5750525,1.5000499999999999,1.5600519999999998,1.5600519999999998,1.5000499999999999,1.4850495,1.5600519999999998,1.5300509999999998,1.590053,1.5150504999999999,1.4700489999999997,1.410047,1.4550485,1.440048,1.6500549999999998,1.6050535,1.4700489999999997,1.6050535,1.6200539999999999,1.5150504999999999,1.5600519999999998,1.5000499999999999,1.4850495,1.5300509999999998
700,1.504335857142857,1.440048,1.5686237142857142,1.5300509999999998,1.5429085714285713,1.4271904285714285,1.5557661428571428,1.5171934285714286,1.504335857142857,1.684341857142857,1.5557661428571428,1.4914782857142856,1.4657631428571427,1.5171934285714286,1.4914782857142856,1.5171934285714286,1.4657631428571427,1.4914782857142856,1.6329115714285714,1.504335857142857,1.5300509999999998,1.5171934285714286,1.5557661428571428,1.5814812857142855,1.6457691428571428,1.5429085714285713,1.6071964285714284,1.440048,1.5429085714285713,1.4786207142857142,1.5686237142857142,1.658626714285714,1.3629025714285714,1.5557661428571428,1.4786207142857142,1.4271904285714285,1.4529055714285712,1.6971994285714282,1.6714842857142858,1.440048,1.7743448571428568,1.5814812857142855,1.6329115714285714,1.5686237142857142,1.440048,1.414332857142857,1.5171934285714286,1.504335857142857,1.350045,1.5943388571428572
800,1.586302875,1.4512983749999997,1.631304375,1.64255475,1.530051,1.55255175,1.530051,1.496299875,1.3162938749999997,1.530051,1.6200539999999999,1.631304375,1.518800625,1.50755025,1.541301375,1.608803625,1.530051,1.518800625,1.3500449999999997,1.6200539999999999,1.518800625,1.55255175,1.6538051249999999,1.541301375,1.608803625,1.6200539999999999,1.473799125,1.608803625,1.530051,1.518800625,1.586302875,1.608803625,1.6200539999999999,1.4850494999999997,1.50755025,1.5750525,1.64255475,1.50755025,1.55255175,1.710057,1.5750525,1.518800625,1.698806625,1.46254875,1.530051,1.55255175,1.55255175,1.428797625,1.440048,1.6875562499999999
900,1.4500483333333334,1.5600519999999998,1.6900563333333332,1.5300509999999998,1.6400546666666667,1.4200473333333332,1.4300476666666666,1.4000466666666667,1.6900563333333332,1.4800493333333333,1.6400546666666667,1.5500516666666666,1.5300509999999998,1.600053333333333,1.6500549999999998,1.5600519999999998,1.5600519999999998,1.5000499999999999,1.6700556666666666,1.5500516666666666,1.5100503333333333,1.6200539999999999,1.630054333333333,1.630054333333333,1.4700489999999997,1.710057,1.5200506666666667,1.5500516666666666,1.5200506666666667,1.590053,1.4900496666666665,1.5300509999999998,1.6200539999999999,1.4800493333333333,1.5700523333333334,1.6800559999999998,1.6400546666666667,1.5400513333333334,1.5600519999999998,1.5400513333333334,1.4600486666666666,1.6200539999999999,1.5500516666666666,1.4900496666666665,1.4600486666666666,1.4800493333333333,1.6500549999999998,1.590053,1.590053,1.4200473333333332
1000,1.4760491999999998,1.7100569999999997,1.4940497999999998,1.4130471,1.5300509999999998,1.5030500999999998,1.5480515999999998,1.4130471,1.4760491999999998,1.3590453,1.5840528,1.4670488999999998,1.4940497999999998,1.5480515999999998,1.4310477,1.5660522,1.5210506999999998,1.5660522,1.7370578999999997,1.6200539999999999,1.7460582,1.6560551999999997,1.5840528,1.5390513,1.4670488999999998,1.6200539999999999,1.4400479999999998,1.5660522,1.6200539999999999,1.4940497999999998,1.4220473999999999,1.6650555,1.4850495,1.4490482999999998,1.4940497999999998,1.4760491999999998,1.6200539999999999,1.5390513,1.5390513,1.6020533999999997,1.6200539999999999,1.4220473999999999,1.4670488999999998,1.5210506999999998,1.3860462,1.4580486,1.5300509999999998,1.6020533999999997,1.5210506999999998,1.6380546
