s,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
101,1.51490198,1.604013861,1.871349505,1.158454455,1.425790099,2.22779703,1.693125743,2.049573267,2.049573267,1.604013861,1.336678218,1.604013861,1.960461386,1.871349505,1.871349505,1.425790099,1.604013861,1.336678218,2.22779703,2.049573267,1.069342574,0.802006931,1.604013861,2.22779703,2.316908911,2.049573267,1.247566337,1.158454455,1.336678218,1.336678218
201,1.432883582,1.477661194,1.61199403,1.567216418,1.567216418,1.791104478,1.522438806,1.477661194,1.432883582,1.432883582,1.791104478,1.61199403,1.656771642,1.522438806,1.253773134,1.208995522,1.432883582,1.343328358,1.253773134,1.567216418,1.83588209,1.38810597,1.880659701,1.567216418,1.656771642,1.61199403,1.298550746,1.656771642,1.746326866,1.38810597
301,1.584770432,1.91368505,1.883783721,1.37546113,1.495066445,1.704375748,1.734277076,1.764178405,1.465165116,1.64457309,1.405362458,1.734277076,1.315658472,1.734277076,1.794079734,1.435263787,1.524967774,1.495066445,1.764178405,1.734277076,1.495066445,1.64457309,1.524967774,1.734277076,1.255855814,1.584770432,1.823981063,1.614671761,1.614671761,1.196053156
401,1.503790773,1.54868005,1.795571072,1.234455112,1.638458603,1.54868005,1.458901496,1.571124688,1.705792519,1.795571072,1.414012219,1.616013965,1.571124688,1.346678304,1.526235411,1.593569327,1.907794264,1.750681796,1.728237157,1.54868005,1.750681796,1.571124688,1.324233666,1.481346135,1.773126434,1.750681796,1.481346135,1.54868005,1.481346135,1.68334788
501,1.598855689,1.616820359,1.63478503,1.796467066,1.329385629,1.562926347,1.778502395,1.706643713,1.526997006,1.437173653,1.616820359,1.670714371,1.509032335,1.437173653,1.580891018,1.724608383,1.509032335,1.598855689,1.598855689,1.63478503,1.616820359,1.652749701,1.580891018,1.850361078,1.652749701,1.473102994,1.437173653,1.796467066,1.688679042,1.329385629
601,1.587407321,1.662285025,1.76711381,1.647309484,1.722187188,1.632333943,1.57243178,1.542480699,1.707211647,1.602382862,1.677260566,1.677260566,1.482578536,1.901893677,1.75213827,1.467602995,1.36277421,1.527505158,1.37774975,1.692236106,1.737162729,1.407700832,1.707211647,1.722187188,1.632333943,1.662285025,1.647309484,1.75213827,1.57243178,1.482578536
701,1.515029101,1.694778317,1.669099857,1.489350642,1.450832953,1.515029101,1.476511412,1.758974465,1.758974465,1.57922525,1.55354679,1.630582168,1.527868331,1.502189872,1.630582168,1.592064479,1.630582168,1.450832953,1.476511412,1.450832953,1.592064479,1.643421398,1.476511412,1.771813695,1.836009843,1.604903709,1.617742939,1.322440656,1.746135235,1.592064479
801,1.674213109,1.505668165,1.303414232,1.674213109,1.651740449,1.674213109,1.719158427,1.573086142,1.741631086,1.573086142,1.707922097,1.404541199,1.404541199,1.561849813,1.528140824,1.764103745,1.595558801,1.685449438,1.539377154,1.415777528,1.831521723,1.696685768,1.651740449,1.550613483,1.62926779,1.460722846,1.707922097,1.674213109,1.516904494,1.337123221
901,1.638234406,1.808051387,1.658212875,1.578299001,1.658212875,1.638234406,1.668202109,1.468417425,1.52835283,1.52835283,1.588288235,1.798062153,1.368525083,1.568309767,1.348546615,1.608266704,1.608266704,1.548331299,1.668202109,1.388503552,1.468417425,1.418471254,1.658212875,1.568309767,1.578299001,1.558320533,1.468417425,1.678191343,1.83801909,1.558320533
1001,1.564487712,1.591461638,1.555496404,1.645409491,1.591461638,1.546505095,1.483565934,1.654400799,1.58247033,1.726331269,1.555496404,1.600452947,1.528522478,1.492557243,1.645409491,1.672383417,1.555496404,1.600452947,1.690366034,1.528522478,1.501548551,1.627426873,1.51053986,1.591461638,1.564487712,1.591461638,1.636418182,1.645409491,1.681374725,1.645409491
1101,1.806599728,1.520486649,1.585883924,1.765726431,1.667630518,1.610407902,1.561359946,1.528661308,1.479613351,1.741202452,1.471438692,1.847473025,1.553185286,1.626757221,1.446914714,1.430565395,1.528661308,1.798425068,1.618582561,1.602233243,1.561359946,1.528661308,1.536835967,1.594058583,1.471438692,1.528661308,1.749377112,1.569534605,1.839298365,1.64310654
1201,1.543765029,1.738609159,1.836031224,1.461330974,1.663669109,1.543765029,1.596223064,1.701139134,1.791067194,1.701139134,1.611211074,1.543765029,1.386390924,1.543765029,1.588729059,1.686151124,1.678657119,1.573741049,1.671163114,1.521283014,1.543765029,1.476318984,1.723621149,1.641187094,1.566247044,1.528777019,1.693645129,1.716127144,1.633693089,1.573741049
1301,1.798676403,1.854020292,1.487367025,1.681070638,1.577300846,1.501202998,1.625726749,1.69490661,1.69490661,1.60497279,1.549628901,1.805594389,1.660316679,1.521956956,1.667234666,1.639562721,1.521956956,1.777922444,1.521956956,1.445859108,1.60497279,1.60497279,1.494285012,1.584218832,1.535792929,1.598054804,1.501202998,1.397433205,1.681070638,1.432023136
1401,1.509686296,1.728108994,1.676715418,1.740957388,1.58677666,1.490413704,1.740957388,1.625321842,1.606049251,1.509686296,1.580352463,1.496837901,1.702412206,1.580352463,1.606049251,1.535383084,1.406899143,1.52253469,1.625321842,1.490413704,1.708836403,1.702412206,1.612473448,1.573928266,1.631746039,1.599625054,1.593200857,1.432595931,1.567504069,1.496837901
1501,1.499050633,1.618974684,1.660948101,1.37313038,1.660948101,1.834837975,1.648955696,1.624970886,1.433092405,1.726906329,1.4211,1.547020253,1.523035443,1.666944304,1.541024051,1.666944304,1.714913924,1.481062025,1.642959494,1.666944304,1.654951899,1.582997468,1.624970886,1.588993671,1.672940506,1.582997468,1.666944304,1.541024051,1.744894937,1.565008861
1601,1.534716989,1.624663773,1.607798751,1.534716989,1.529095315,1.529095315,1.619042099,1.568447033,1.427905184,1.557203685,1.658393816,1.647150468,1.545960337,1.47850025,1.529095315,1.635907121,1.630285447,1.489743598,1.45039188,1.557203685,1.557203685,1.551582011,1.557203685,1.540338663,1.602177077,1.652772142,1.557203685,1.534716989,1.737097252,1.50660862
1701,1.560898589,1.545025044,1.661431041,1.650848677,1.682595767,1.672013404,1.666722222,1.402163139,1.566189771,1.545025044,1.640266314,1.730216402,1.587354497,1.672013404,1.423327866,1.75667231,1.439201411,1.566189771,1.703760494,1.545025044,1.428619048,1.650848677,1.634975132,1.672013404,1.534442681,1.455074956,1.592645679,1.587354497,1.486822046,1.656139859
1801,1.669128373,1.62914925,1.609159689,1.62914925,1.389274514,1.46923276,1.504214492,1.614157079,1.709107496,1.499217102,1.62415186,1.62415186,1.649138812,1.609159689,1.77407357,1.609159689,1.504214492,1.549191005,1.579175347,1.649138812,1.554188395,1.514209273,1.514209273,1.684120544,1.684120544,1.599164908,1.519206663,1.659133592,1.62914925,1.61915447
1901,1.732829984,1.548184166,1.604998264,1.59079474,1.53871515,1.652343346,1.642874329,1.628670805,1.571856707,1.604998264,1.61446728,1.472432036,1.619201789,1.519777117,1.581325723,1.53871515,1.524511625,1.623936297,1.600263756,1.595529248,1.676015886,1.581325723,1.66654687,1.657077854,1.79437859,1.604998264,1.642874329,1.444024987,1.61446728,1.533980642
