s,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
100,1.080036,2.250075,2.6100869999999996,1.8900629999999998,2.5200839999999998,1.8900629999999998,1.2600419999999999,1.9800659999999999,1.080036,1.710057,1.710057,1.6200539999999999,1.530051,1.3500449999999997,1.530051,1.1700389999999998,1.6200539999999999,1.710057,1.8900629999999998,2.160072,1.530051,1.9800659999999999,1.3500449999999997,2.0700689999999997,2.160072,1.440048,1.8900629999999998,1.530051,1.8000599999999998,2.0700689999999997,1.3500449999999997,1.710057,1.1700389999999998,1.710057,1.6200539999999999,1.1700389999999998,1.710057,2.0700689999999997,1.8000599999999998,1.9800659999999999,1.2600419999999999,1.8000599999999998,1.530051,1.2600419999999999,1.6200539999999999,1.3500449999999997,1.6200539999999999,1.530051,1.6200539999999999,1.440048
200,1.8450615,1.5750525,1.8450615,1.530051,1.3950465,1.440048,1.7550584999999999,1.5750525,1.3050434999999998,1.5750525,1.3950465,2.250075,2.0700689999999997,1.5750525,1.080036,1.3950465,1.3050434999999998,1.6650555,1.530051,1.710057,1.5750525,1.4850494999999997,1.6650555,1.6200539999999999,1.9350644999999997,1.2600419999999999,1.8450615,1.7550584999999999,1.8000599999999998,1.3950465,1.530051,1.4850494999999997,1.8000599999999998,1.710057,1.440048,1.6650555,1.530051,2.0250675,1.6200539999999999,2.430081,1.6650555,1.6650555,1.9350644999999997,1.6650555,1.3500449999999997,1.530051,1.5750525,1.8900629999999998,1.2150405,1.530051
300,1.5000499999999999,1.680056,1.440048,1.830061,1.4700489999999997,1.8000599999999998,1.8900629999999998,1.8000599999999998,1.5600519999999998,1.6500549999999998,1.3800459999999999,1.830061,1.320044,1.7100569999999997,1.7100569999999997,1.4700489999999997,1.830061,1.590053,1.440048,1.4700489999999997,1.440048,1.6500549999999998,1.590053,1.6200539999999999,2.0400679999999998,1.6200539999999999,1.350045,1.440048,2.130071,1.6200539999999999,1.2900429999999998,1.7100569999999997,1.8600619999999999,1.7400579999999999,1.5600519999999998,1.770059,1.9200639999999998,1.440048,1.830061,1.8000599999999998,1.6200539999999999,1.8000599999999998,1.2600419999999999,1.7400579999999999,1.3800459999999999,1.5600519999999998,1.7100569999999997,1.770059,1.5600519999999998,1.5000499999999999
400,1.73255775,1.46254875,1.19253975,1.530051,1.3725457499999998,1.59755325,1.530051,1.77755925,1.3050434999999998,1.4175472499999997,1.530051,1.73255775,1.3950465,1.530051,1.8675622499999998,1.55255175,1.4850494999999997,1.50755025,1.46254875,1.14753825,1.8225607499999998,1.73255775,1.8000599999999998,1.5750525,1.4175472499999997,1.50755025,1.9800659999999999,1.5750525,1.55255175,1.8450615,1.59755325,1.8450615,1.4175472499999997,1.50755025,1.440048,1.73255775,1.50755025,1.64255475,1.530051,1.3950465,1.8225607499999998,1.73255775,1.6200539999999999,1.55255175,1.8675622499999998,1.440048,1.6200539999999999,1.55255175,1.3725457499999998,1.5750525
500,1.4760491999999998,1.80006,1.8540618,1.7280575999999999,1.6020533999999997,1.5480515999999998,1.6560551999999997,1.5300509999999998,1.7820593999999998,1.5120504,1.7820593999999998,1.7820593999999998,1.4940497999999998,1.5660522,1.6200539999999999,1.4940497999999998,1.8540618,1.6020533999999997,1.4940497999999998,1.8360611999999998,1.4220473999999999,1.5480515999999998,1.7820593999999998,1.7460582,1.8360611999999998,1.4940497999999998,1.8180605999999997,1.5120504,1.3140437999999999,1.6920564,1.3860462,1.5300509999999998,1.4760491999999998,1.5840528,1.5120504,1.7820593999999998,1.6560551999999997,1.8180605999999997,1.6380546,1.6380546,1.7280575999999999,1.5840528,1.6020533999999997,1.1880395999999998,1.6560551999999997,1.4220473999999999,1.5840528,1.9440647999999998,1.4580486,1.7460582
600,1.6350544999999999,1.6050535,1.8450614999999997,1.6650554999999998,1.590053,1.8450614999999997,1.590053,1.5300509999999998,1.4550485,1.8750624999999999,1.3650455,1.410047,1.8000599999999998,1.8150605,1.8150605,1.440048,1.4550485,1.6650554999999998,1.4700489999999997,1.4250474999999998,1.5300509999999998,1.5600519999999998,1.8000599999999998,1.5300509999999998,1.680056,1.7400579999999999,1.4700489999999997,1.5750525,1.440048,1.6050535,1.440048,1.5450515,1.6200539999999999,1.5450515,1.4700489999999997,1.440048,1.5450515,1.8900629999999998,1.6050535,1.590053,1.7400579999999999,1.7400579999999999,1.4700489999999997,1.5750525,1.4550485,1.4700489999999997,1.6650554999999998,1.6050535,1.6650554999999998,1.5750525
700,1.6200539999999997,1.658626714285714,1.6714842857142858,1.4914782857142856,1.5429085714285713,1.5943388571428572,1.684341857142857,1.5686237142857142,1.6329115714285714,1.5686237142857142,1.5943388571428572,1.5300509999999998,1.6329115714285714,1.5557661428571428,1.8000599999999998,1.7357721428571427,1.5943388571428572,1.7357721428571427,1.8000599999999998,1.7229145714285714,1.658626714285714,1.6457691428571428,1.6714842857142858,1.6071964285714284,1.5429085714285713,1.3629025714285714,1.6714842857142858,1.7486297142857143,1.5300509999999998,1.6071964285714284,1.710057,1.4914782857142856,1.440048,1.5300509999999998,1.504335857142857,1.6714842857142858,1.8643478571428571,1.8129175714285712,1.5814812857142855,1.5814812857142855,1.6071964285714284,1.6714842857142858,1.7743448571428568,1.7872024285714285,1.4786207142857142,1.6971994285714282,1.5300509999999998,1.5686237142857142,1.5429085714285713,1.5943388571428572
800,1.7213073749999999,1.473799125,1.530051,1.586302875,1.3950465,1.743808125,1.518800625,1.563802125,1.496299875,1.6875562499999999,1.710057,1.5750525,1.50755025,1.676305875,1.77755925,1.46254875,1.440048,1.6875562499999999,1.563802125,1.3837961249999997,1.473799125,1.46254875,1.6200539999999999,1.4062968749999998,1.473799125,1.4062968749999998,1.59755325,1.586302875,1.4512983749999997,1.530051,1.530051,1.3837961249999997,1.710057,1.6650555,1.46254875,1.3725457499999998,1.586302875,1.530051,1.4062968749999998,1.608803625,1.6875562499999999,1.8675622499999998,1.50755025,1.473799125,1.586302875,1.64255475,1.586302875,1.676305875,1.518800625,1.6650555
900,1.7000566666666665,1.710057,1.5600519999999998,1.4900496666666665,1.4100469999999998,1.590053,1.6400546666666667,1.5500516666666666,1.5200506666666667,1.5100503333333333,1.6700556666666666,1.4800493333333333,1.5400513333333334,1.7600586666666667,1.4300476666666666,1.6800559999999998,1.6800559999999998,1.6400546666666667,1.600053333333333,1.6400546666666667,1.4400479999999998,1.5200506666666667,1.7600586666666667,1.5600519999999998,1.4900496666666665,1.6500549999999998,1.8000599999999998,1.4700489999999997,1.5700523333333334,1.6500549999999998,1.5000499999999999,1.8500616666666665,1.5200506666666667,1.3800459999999999,1.6200539999999999,1.4200473333333332,1.5200506666666667,1.5200506666666667,1.590053,1.3500449999999997,1.3300443333333334,1.590053,1.7300576666666665,1.590053,1.6400546666666667,1.8200606666666665,1.3400446666666666,1.5800526666666665,1.9100636666666666,1.3800459999999999
1000,1.4850495,1.5660522,1.5750524999999997,1.5210506999999998,1.5390513,1.5210506999999998,1.6920564,1.6560551999999997,1.5300509999999998,1.6740557999999999,1.5750524999999997,1.6650555,1.4760491999999998,1.7100569999999997,1.5390513,1.5300509999999998,1.5840528,1.7190573,1.6110537,1.7010566999999999,1.5030500999999998,1.5930530999999999,1.8360611999999998,1.5840528,1.5210506999999998,1.6200539999999999,1.80006,1.6380546,1.6650555,1.4130471,1.6470548999999999,1.8540618,1.6560551999999997,1.5030500999999998,1.2150404999999997,1.4220473999999999,1.6110537,1.6650555,1.6020533999999997,1.6200539999999999,1.6380546,1.7100569999999997,1.5210506999999998,1.5660522,1.8090602999999998,1.6470548999999999,1.5930530999999999,1.6200539999999999,1.5120504,1.5120504
